,genre,simplified genre,simplified genre from URL
0,http://fr.dbpedia.org/resource/Film_documentaire,film documentaire,True
1,"thriller, drame",thriller,False
2,"thriller, drame",drame,False
3,http://fr.dbpedia.org/resource/Drame_(cinéma),drame (cinema),True
4,http://fr.dbpedia.org/resource/Film_d'horreur,film dhorreur,True
5,http://fr.dbpedia.org/resource/Thriller_(genre),thriller (genre),True
6,parodie,parodie,False
7,dessin animé,dessin anime,False
8,http://fr.dbpedia.org/resource/Comédie,comedie,True
9,Comédie,comedie,False
10,http://fr.dbpedia.org/resource/Comédie_dramatique,comedie dramatique,True
11,http://fr.dbpedia.org/resource/Science-fiction,science-fiction,True
12,http://fr.dbpedia.org/resource/Film_musical,film musical,True
13,comédie érotique,comedie erotique,False
14,Série documentaire TV,serie documentaire tv,False
15,Film dramatique,film dramatique,False
16,http://fr.dbpedia.org/resource/Film_policier,film policier,True
17,"Thriller, drame",thriller,False
18,"Thriller, drame",drame,False
19,Thriller psychologique,thriller psychologique,False
20,http://fr.dbpedia.org/resource/Film_d'aventures,film daventures,True
21,Drame de Guerre,drame de guerre,False
22,http://fr.dbpedia.org/resource/Western,western,True
23,http://fr.dbpedia.org/resource/Film_historique,film historique,True
24,http://fr.dbpedia.org/resource/Film_d'action,film daction,True
25,http://fr.dbpedia.org/resource/Mélodrame_(cinéma),melodrame (cinema),True
26,Aventure,aventure,False
27,Science-Fiction,science-fiction,False
28,http://fr.dbpedia.org/resource/Film_noir,film noir,True
29,Action,action,False
30,Art martiaux,art martiaux,False
31,http://fr.dbpedia.org/resource/Film_fantastique,film fantastique,True
32,Drame criminel,drame criminel,False
33,http://fr.dbpedia.org/resource/Cinéma_fantastique,cinema fantastique,True
34,http://fr.dbpedia.org/resource/Slasher,slasher,True
35,http://fr.dbpedia.org/resource/Comédie_policière,comedie policiere,True
36,http://fr.dbpedia.org/resource/Musique_de_film,musique de film,True
37,Bande originales,bande originales,False
38,http://fr.dbpedia.org/resource/Comédie_(film),comedie (film),True
39,http://fr.dbpedia.org/resource/Fantastique,fantastique,True
40,"Horreur, thriller",horreur,False
