,genre,simplified genre
0,http://fr.dbpedia.org/resource/Film_documentaire,documentaire
1,"thriller, drame",drame
2,"thriller, drame",thriller
3,http://fr.dbpedia.org/resource/Drame_(cinéma),drame
4,http://fr.dbpedia.org/resource/Film_d'horreur,horreur
5,http://fr.dbpedia.org/resource/Thriller_(genre),thriller
6,parodie,parodie
7,dessin animé,dessin animé
8,http://fr.dbpedia.org/resource/Comédie,comédie
9,Comédie,comédie
10,http://fr.dbpedia.org/resource/Comédie_dramatique,comédie dramatique
11,http://fr.dbpedia.org/resource/Science-fiction,science-fiction
12,http://fr.dbpedia.org/resource/Film_musical,musical
13,comédie érotique,comédie
14,comédie érotique,érotique
15,Série documentaire TV,série documentaire tv
16,Film dramatique,dramatique
17,http://fr.dbpedia.org/resource/Film_policier,policier
18,"Thriller, drame",drame
19,"Thriller, drame",thriller
20,Thriller psychologique,thriller psychologique
21,http://fr.dbpedia.org/resource/Film_d'aventures,aventure
22,Drame de Guerre,drame de guerre
23,http://fr.dbpedia.org/resource/Western,western
24,http://fr.dbpedia.org/resource/Film_historique,historique
25,http://fr.dbpedia.org/resource/Film_d'action,action
26,http://fr.dbpedia.org/resource/Mélodrame_(cinéma),mélodrame
27,Aventure,aventure
28,Science-Fiction,science-fiction
29,http://fr.dbpedia.org/resource/Film_noir,noir
30,Action,action
31,Art martiaux,art martiaux
32,http://fr.dbpedia.org/resource/Film_fantastique,fantastique
33,Drame criminel,drame criminel
34,http://fr.dbpedia.org/resource/Cinéma_fantastique,fantastique
35,http://fr.dbpedia.org/resource/Slasher,slasher
36,http://fr.dbpedia.org/resource/Comédie_policière,comédie policière
37,http://fr.dbpedia.org/resource/Musique_de_film,musique de film
38,Bande originales,musique de film
39,http://fr.dbpedia.org/resource/Comédie_(film),comédie
40,http://fr.dbpedia.org/resource/Fantastique,fantastique
41,"Horreur, thriller",horreur
42,"Horreur, thriller",thriller
43,http://fr.dbpedia.org/resource/Film_d'aventure,aventure
